STTSTTSTT,Loại công trìnhLoại côngLoại công  trìnhtrình,Tiêu chí phân cấpTiêuTiêu  chíchí  phânphân  cấpcấp,Cấp công trìnhCấp côngCấp công  trìnhtrình — Đặc biệtĐặc biệtĐặc biệt,Cấp công trìnhCấp côngCấp công  trìnhtrình — III,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IVIVIV,Cấp công trìnhCấp côngCấp công  trìnhtrình
1.4.11.4.11.4.1,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ,Công trình đường bộCôngCông  trìnhtrình  đường bộđường bộ
1.4.11.4.11.4.1,"1.4.1.1 Đường ô tô, đường ô tô cao tốc1.4.1.1 Đường ô tô, đường ô tô cao tốc1.4.1.1 Đường ô tô, đường ô tô cao tốc- Đường ô tô cao tốc không thấp hơn cấp II.--  ĐườngĐường  ôô  tôtô  caocao  tốc khôngtốc không  thấpthấp  hơnhơn  cấpcấp  II.II.- Đối với đường ô tô, đường ô tô cao tốc trên cao (dạng cầu cạn) xét theo tiêu chí tại mục này và quy mô kết cấu tại mục 2.5.1 Bảng 2 Phụ lục II.--  ĐốiĐối  vớivới  đườngđường  ôô  tô, đườngtô, đường  ôô  tôtô  caocao  tốctốc  trên caotrên cao  (dạng(dạng  cầucầu  cạn)cạn)  xét theoxét theo  tiêutiêu  chíchí  tạitại  mục nàymục này  vàvà  quyquy  mômô  kếtkết  cấu tạicấu tại  mụcmục  2.5.12.5.1  BảngBảng  2 Phụ lục2 Phụ lục  II.II.",Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h),>100>100>100,100100100,808080,606060,≤40≤40≤40,
1.4.11.4.11.4.1,"1.4.1.2 Đường đô thị:1.4.1.2 Đường đô thị:1.4.1.2 Đường đô thị:- Xác định cấp công trình theo tất cả các tiêu chí phân cấp, lấy cấp cao nhất xác định được làm cấp công trình.--  XácXác  địnhđịnh  cấpcấp  côngcông  trìnhtrình  theotheo  tấttất  cả cáccả các  tiêutiêu  chíchí  phânphân  cấp,cấp,  lấy cấplấy cấp  caocao  nhấtnhất  xác địnhxác định  đượcđược  làmlàm  cấp côngcấp công  trình.trình.- Đối với đường đô thị có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.--  ĐốiĐối  vớivới  đườngđường  đôđô  thị cóthị có  tổngtổng  chiềuchiều  dài ≤1.000dài ≤1.000  m:m:  SauSau  khikhi  xác địnhxác định  cấpcấp  côngcông  trình theotrình theo  mụcmục  nàynày  thìthì  hạ xuốnghạ xuống  mộtmột  cấpcấp  nhưng khôngnhưng không  thấpthấp  hơnhơn  cấpcấp  IV.IV.- Đường đô thị trên cao xét theo các tiêu chí tại mục này và quy mô kết cấu tại mục 2.5.1 Bảng 2 Phụ lục II.--  ĐườngĐường  đôđô  thị trên caothị trên cao  xétxét  theotheo  cáccác  tiêu chítiêu chí  tạitại  mụcmục  nàynày  và quyvà quy  mômô  kếtkết  cấucấu  tại mụctại mục  2.5.12.5.1  BảngBảng  22  Phụ lụcPhụ lục  II.II.- Đối với đường tương tự (trừ đường quốc lộ qua đô thị) được thiết kế với công năng và các tiêu chí kỹ thuật theo tiêu chuẩn thiết kế đường đô thị thì áp dụng các quy định tại mục này để xác định cấp công trình.--  Đối với đường tương tự (trừ đường quốc lộ quaĐối với đường tương tự (trừ đường quốc lộ qua  đô thị) được thiết kế với côngđô thị) được thiết kế với công  năng và cácnăng và các  tiêutiêu  chíchí  kỹ thuật theokỹ thuật theo  tiêutiêu  chuẩn thiết kế đường đô thị thìchuẩn thiết kế đường đô thị thì  áp dụng cácáp dụng các  quyquy  định tại mục nàyđịnh tại mục này  để xácđể xác  định cấp côngđịnh cấp công  trình.trình.",a) Số làn xea) Số làn xea) Số làn xe,,≥8≥8≥8,666,2; 42; 42; 4,111,
1.4.11.4.11.4.1,"1.4.1.2 Đường đô thị:1.4.1.2 Đường đô thị:1.4.1.2 Đường đô thị:- Xác định cấp công trình theo tất cả các tiêu chí phân cấp, lấy cấp cao nhất xác định được làm cấp công trình.--  XácXác  địnhđịnh  cấpcấp  côngcông  trìnhtrình  theotheo  tấttất  cả cáccả các  tiêutiêu  chíchí  phânphân  cấp,cấp,  lấy cấplấy cấp  caocao  nhấtnhất  xác địnhxác định  đượcđược  làmlàm  cấp côngcấp công  trình.trình.- Đối với đường đô thị có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.--  ĐốiĐối  vớivới  đườngđường  đôđô  thị cóthị có  tổngtổng  chiềuchiều  dài ≤1.000dài ≤1.000  m:m:  SauSau  khikhi  xác địnhxác định  cấpcấp  côngcông  trình theotrình theo  mụcmục  nàynày  thìthì  hạ xuốnghạ xuống  mộtmột  cấpcấp  nhưng khôngnhưng không  thấpthấp  hơnhơn  cấpcấp  IV.IV.- Đường đô thị trên cao xét theo các tiêu chí tại mục này và quy mô kết cấu tại mục 2.5.1 Bảng 2 Phụ lục II.--  ĐườngĐường  đôđô  thị trên caothị trên cao  xétxét  theotheo  cáccác  tiêu chítiêu chí  tạitại  mụcmục  nàynày  và quyvà quy  mômô  kếtkết  cấucấu  tại mụctại mục  2.5.12.5.1  BảngBảng  22  Phụ lụcPhụ lục  II.II.- Đối với đường tương tự (trừ đường quốc lộ qua đô thị) được thiết kế với công năng và các tiêu chí kỹ thuật theo tiêu chuẩn thiết kế đường đô thị thì áp dụng các quy định tại mục này để xác định cấp công trình.--  Đối với đường tương tự (trừ đường quốc lộ quaĐối với đường tương tự (trừ đường quốc lộ qua  đô thị) được thiết kế với côngđô thị) được thiết kế với công  năng và cácnăng và các  tiêutiêu  chíchí  kỹ thuật theokỹ thuật theo  tiêutiêu  chuẩn thiết kế đường đô thị thìchuẩn thiết kế đường đô thị thì  áp dụng cácáp dụng các  quyquy  định tại mục nàyđịnh tại mục này  để xácđể xác  định cấp côngđịnh cấp công  trình.trình.",b) Tốc độ thiết kế (km/h)b) Tốc độ thiết kế (km/h)b) Tốc độ thiết kế (km/h),>80>80>80,808080,60; 5060; 5060; 50,404040,20 ÷ 3020 ÷ 3020 ÷ 30,
1.4.11.4.11.4.1,"1.4.1.3 Nút giao thông (đồng mức, khác mức)1.4.1.3 Nút giao thông (đồng mức, khác mức)1.4.1.3 Nút giao thông (đồng mức, khác mức)",Lưu lượng xe thiết kế quy đổi (nghìn xe/ngày đêm)Lưu lượng xe thiết kế quy đổi (nghìn xe/ngày đêm)Lưu lượng xe thiết kế quy đổi (nghìn xe/ngày đêm),≥30≥30≥30,10 ÷ <3010 ÷ <3010 ÷ <30,3 ÷ <103 ÷ <103 ÷ <10,<3<3<3,,
1.4.11.4.11.4.1,"1.4.1.4 Các loại đường khác (không bao gồm mục 1.4.1.1 và 1.4.1.2):1.4.1.4 1.4.1.4 Các loại đường khác (không bao gồm mục 1.4.1.1 và 1.4.1.2):Các loại đường khác (không bao gồm mục 1.4.1.1 và 1.4.1.2):a) Đường nông thôna) a) Đường nông thônĐường nông thônb) Đường chuyên dùng để phục vụ vận chuyển, đi lại của một hoặc một số tổ chức, cá nhân (ví dụ: đường lâm nghiệp, đường khai thác mỏ, đường tạm phục vụ thi công, đường trong khu vui chơi, nghỉ dưỡng,…)b) b) Đường chuyên dùng để phục vụ vận chuyển, đi lại của một hoặc một số tổ chức, cá nhân Đường chuyên dùng để phục vụ vận chuyển, đi lại của một hoặc một số tổ chức, cá nhân (ví dụ: đường lâm(ví dụ: đường lâm  nghiệp, đường khainghiệp, đường khai  thácthác  mỏ, đường tạm phục vụ thimỏ, đường tạm phục vụ thi  công,công,  đường trongđường trong  khukhu  vuivui  chơi, nghỉ dưỡng,…)chơi, nghỉ dưỡng,…)Ghi chú: Đường thử nghiệm xe ô tô xác định cấp theo mục 1.4.1.1.GhiGhi  chú:chú:  Đường thử nghiệm xeĐường thử nghiệm xe  ôô  tôtô  xácxác  định cấp theođịnh cấp theo  mục 1.4.1.1.mục 1.4.1.1.c) Đường xe đạp; đường đi bộc) c) Đường xe đạp; đường đi bộĐường xe đạp; đường đi bộ",Mức độ quan trọngMức độ quan trọngMức độ quan trọng,,,,,Mọi quy môMọi quy môMọi quy mô,
1.4.21.4.21.4.2,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt,Công trình đường sắtCôngCông  trìnhtrình  đường sắtđường sắt
1.4.21.4.21.4.2,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị,1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị1.4.2.1 Đường sắt đô thị
1.4.21.4.21.4.2,a) Đường tàu điện ngầma) Đường tàu điện ngầma) Đường tàu điện ngầm,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô,Cấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy môCấp đặc biệt với mọi quy mô
1.4.21.4.21.4.2,"b) Đường tàu điện đi trên mặt đất, đường tàu điện trên cao, đường sắt một ray tự động dẫn hướng và đường xe điện bánh sắtb) Đường tàu điện đi trên mặt đất, đường tàu điện trên cao, đường sắt một ray tự động dẫn hướng và đường xe điện bánh sắtb) Đường tàu điện đi trên mặt đất, đường tàu điện trên cao, đường sắt một ray tự động dẫn hướng và đường xe điện bánh sắt",Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô,Cấp I với mọi quy môCấp I với mọi quy môCấp I với mọi quy mô
1.4.21.4.21.4.2,"1.4.2.2 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.435 mm1.4.2.2 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.435 mm1.4.2.2 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.435 mm",Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h),≥200≥200≥200,120 ÷ <200120 ÷ <200120 ÷ <200,80 ÷ <12080 ÷ <12080 ÷ <120,<80<80<80,,
1.4.21.4.21.4.2,"1.4.2.3 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm1.4.2.3 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm1.4.2.3 Đường sắt quốc gia, đường sắt địa phương (không bao gồm mục 1.4.2.1), khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm",Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h),,100 ÷ 120100 ÷ 120100 ÷ 120,60 ÷ <10060 ÷ <10060 ÷ <100,<60<60<60,,
1.4.21.4.21.4.2,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng,1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng1.4.2.4 Đường sắt chuyên dùng
